0,1,360,71.5
1,2,360,27.9,2.562724
1,3,360,17.2,4.1569767
1,4,360,14.1,5.070922
1,5,360,11.4,6.27193
1,6,360,12.3,5.813008
1,7,360,9.9,7.2222223
1,8,360,10.0,7.15
0,1,640,54.5
1,2,640,29.8,1.8288591
1,3,640,26.8,2.0335822
1,4,640,20.0,2.725
1,5,640,17.8,3.0617979
1,6,640,17.7,3.0790958
1,7,640,16.4,3.323171
1,8,640,18.9,2.8835979
0,1,720,169.3
1,2,720,96.1,1.7617066
1,3,720,69.0,2.4536233
1,4,720,57.3,2.954625
1,5,720,54.7,3.095064
1,6,720,53.5,3.164486
1,7,720,51.4,3.2937744
1,8,720,48.6,3.4835393
0,1,1080,415.2
1,2,1080,223.1,1.8610488
1,3,1080,147.2,2.8206522
1,4,1080,131.9,3.1478395
1,5,1080,122.7,3.3838632
1,6,1080,123.9,3.3510897
1,7,1080,111.8,3.7137747
1,8,1080,119.7,3.4686718
0,1,2160,1635.5
1,2,2160,823.1,1.9870005
1,3,2160,609.1,2.6851094
1,4,2160,554.7,2.9484406
1,5,2160,530.5,3.0829406
1,6,2160,491.6,3.3268917
1,7,2160,501.0,3.264471
1,8,2160,505.9,3.2328525
0,1,4320,5923.8
1,2,4320,3020.1,1.9614581
1,3,4320,2244.5,2.6392515
1,4,4320,1966.0,3.013123
1,5,4320,1961.7,3.0197277
1,6,4320,1885.7,3.1414328
1,7,4320,1874.1,3.1608772
1,8,4320,1925.7,3.07618
