n. runs: 15
0,1,360,89.86667
1,2,360,26.2,3.4300253
1,3,360,20.4,4.405229
1,4,360,16.066668,5.593361
1,5,360,12.733334,7.0575914
1,6,360,13.0,6.912821
1,7,360,14.533334,6.183486
1,8,360,12.2,7.3661203
n. runs: 15
0,1,480,66.13333
1,2,480,34.2,1.9337231
1,3,480,28.8,2.2962964
1,4,480,25.2,2.6243384
1,5,480,21.933332,3.0151975
1,6,480,19.933332,3.317726
1,7,480,19.866667,3.3288589
1,8,480,19.6,3.3741496
n. runs: 15
0,1,720,199.46666
1,2,720,99.0,2.0148149
1,3,720,77.0,2.590476
1,4,720,75.4,2.6454463
1,5,720,73.333336,2.7199998
1,6,720,64.53333,3.090909
1,7,720,64.46667,3.0941052
1,8,720,61.333332,3.252174
n. runs: 15
0,1,1080,476.13333
1,2,1080,237.33333,2.0061798
1,3,1080,169.6,2.8073897
1,4,1080,153.2,3.10792
1,5,1080,150.93333,3.1545937
1,6,1080,145.06667,3.282169
1,7,1080,138.4,3.44027
1,8,1080,132.4,3.5961733
n. runs: 15
0,1,2160,1611.2667
1,2,2160,880.06665,1.8308462
1,3,2160,717.13336,2.246816
1,4,2160,639.4,2.5199666
1,5,2160,630.0,2.5575662
1,6,2160,649.6667,2.4801438
1,7,2160,606.6,2.6562262
1,8,2160,583.13336,2.7631187
n. runs: 15
0,1,4320,6198.0
1,2,4320,3245.9333,1.9094661
1,3,4320,2582.2,2.4002788
1,4,4320,2427.5334,2.5532088
1,5,4320,2403.0667,2.5792043
1,6,4320,2525.5334,2.454135
1,7,4320,2483.8667,2.495303
1,8,4320,2486.1333,2.493028
n. runs: 15
0,1,8640,25912.6
1,2,8640,13862.8,1.8692183
1,3,8640,11118.134,2.3306608
1,4,8640,10394.4,2.4929383
1,5,8640,10395.533,2.4926667
1,6,8640,10074.066,2.5722086
1,7,8640,9982.066,2.5959153
1,8,8640,10097.667,2.5661967
